die Familie|la famille
Der Vater|le père
die Mutter|la mère
der Onkel|l'oncle
die Tante|la tante
der grossvater|le grand-père
die Grossmutter|la grand-mère
der Cousin[]die Cousine|le cousin[]la cousine
das Mädchen[]die Tochter|la fille
der Knabe|le garçon
sein|être
Ich bin die Cousine von Paul.|Je suis la cousine de Paul.
Wie heisst dein Onkel?|Comment s'appelle ton oncle?
Mein Onkel heisst Louis.|Mon oncle s'appelle Louis.
Wie ist dein Name?|Quel est ton nom?
Ich habe einen Drachen.|J'ai un cerf-volant.
Mache!|Fais!
Macht eine Grimasse!|Faites une grimace!
Lies!|Lis!
Lest den Text!|Lisez le texte.
Steige auf den Stuhl!|Monte sur la chaise!
Steigt auf den Stuhl!|Montez sur la chaise!
Zähle die Hefte!Compte les cahiers!
Zählt die Hefte!|Comptez les cahiers!
Wechsle den Platz!|Change de place!
Wechselt den Platz!|Changez de place!
Spiele mit dem Ball!|Joue à la balle!
Spielt mit dem Ball!|Jouez à la balle
Gib mir die Mappe!|Donne-moi la serviette!
Gebt mir die Mappe!|Donnez-moi la serviette!
das Datum|la date
Welches Datum haben wir heute?|Aujourd'hui, c'est quelle date?
Welcher Tag ist heute?|Aujourd'hui, c'est quel jour?
Es ist Montag.|C'est lundi.
Dienstag|mardi
Mittwoch|mercredi
Donnerstag|jeudi
Freitag|vendredi
Samstag|samedi
Sonntag|dimanche
der Tag|le jour
die Woche|la semaine
Januar|janvier
Februar|février
März|mars
April|avril
Mai|mai
Juni|juin
Juli|julliet
August|août
September|septembre
Oktober|octobre
November|novembre
Dezember|décembre
die Monate des Jahres|les mois de l'année
Wann hast Du Geburtstag?|Quand est-ce-que tu as ton anniversaire?
Ich habe am einundreissigsten Januar Geburtstag.|J'ai mon anniversaire le trente et un janvier
Ich lade Dich zu meinem Geburtstag ein.|je tínvite à mon anniversaire.
Danke für die Einladung.|Merci pour l'invitation.
Es ist lässig.[]Es ist toll.|C'est chouette.
Bis nächsten Samstag.|A samedi prochain.
Treffen bei mir um acht Uhr.[]Rendez-vous bei mir um acht Uhr.|Rendez-vous chez moi à huit heures.
Einverstanden|D'accord
