die Stadt|la ville
das Dorf|le village
das Haus|la maison
der Wolkenkratzer|le gratte-ciel
die Kirche|l'église
der Bahnhof|la gare
der Flughafen|l'aéroport
das Sportzentrum|le centre sportif
die Bäckerei|la boulangerie
Das Brot dieser Bäckerei ist gut.|Le pain de cette boulangerie est bon.
die Discothek|la discothèque
das Hotel|l'hôtel
die Garage|le garage
der Zirkus|le cirque
das Tier|l'animal
die Konditorei[]die Patisserie|la pâtisserie
Ich habe den Zitronenkuchen dieser Konditorei gern.|J'aime le gâteau au citron de cette pâtisserie.
das Lebensmittelgeschäft|l'épicerie
der Supermarkt|le supermarché
Geh in den Supermarkt ein Schokoladeneis holen!|Va chercher une glace au chocolat au supermarché!
die Metzgerei|la bucherie
der Markt|le marché
die Post|la poste
die Buchhandlung|la librairie
das Schaufenster[]die Vitrine|la vitrine
die Strasse|la rue
der Weg|le chemin
die Brücke|le pont
der Baum|l'arbre
der Platz|la place
Ich bin zu Hause und gehe zum Markt.|Je suis à la maison et je vais au marché.
Du bist in der Bäckerei und gehst zur Post.|Tu es à la boulangerie et tu vas à la poste.
Wir sind im Hotel und gehen ins Theater.|Nous sommes à l'hôtel et nous allons au théâtre.
in der Mitte des Platzes|au milieu de la place
oben|en haut
unten|en bas
zwischen der Post und dem Kino|entre la poste et le cinéma
neben dem Bahnhof|à côté de la gare
in der Nähe des Zirkus|près du cirque
das Motorrad|la moto
der Zug|le train
der Wagen[]das Auto|la voiture[]l'auto
das Fahrzeug|le véhicule
das Rollbrett|la planche à roulettes
das Flugzeug|l'avion
das Schiff|le bateau
grau|gris[]grise
braun|brun[]brune
Entschuldigung, ich suche den Bahnhof.|Pardon, je cherche la gare.
Wo versteckt sich deine Katze?|Où se cache ton chat?
rechts abbiegen|tourner à droite
links abbiegen|tourner à gauche
wohnen|habiter
geradeaus gehen|aller tout droit
überqueren|traverser
vorwärts gehen|avancer
Gehe hinaus!|Sors!
Geht hinaus!|Sortez!
