der Star|la star
die Werbung|la publicité
der Werbefilm|le film publicitaire
das Inserat|l'annonce
vorstellen|présenter
wohnen|habiter
der Geburtstag|l'anniversaire
der Name|le nom
der Vorname|le prénom
der Familienname|le nom de famille
die Geburt|la naissance
das Geburtsdatum|la date de naissance
der Geburtsort|le lieu de naissance
geboren sein|être né, -e
die Freizeitbeschäftigung|les loisirs
der Beruf|la profession
die Sprache, die Zunge|la langue
stark sein|être fort[]être forte
das Tier|l'animal
die Tiere|les animaux
das Haustier|l'animal domestique
der Vater|le père
die Mutter|la mère
der Bruder|le frère
die Schwester|la soeur
die Eltern|les parents
die Geschwister|les frères et soeurs
das Kind|l'enfant
der Knabe|le garçon
der Sohn|le fils
die Tochter|la fille
der Grossvater|le grand-père
die Grossmutter|la grand-mère
die Grosseltern|les grands-parents
der Mann[]der Mensch|l'homme
die Frau[]die Ehefrau|la femme
der Ehemann|le mari
erwachsen|adulte
der Erwachsene[]die Erwachsene|l'adulte
der Freund[]Kumpel|le copain
die Freundin|la copine
sehr gut|parfait
einverstanden|d'accord
der Bäcker|le boulanger
Wen darf ich melden?|C'est de la part de qui?
Es ist besetzt.|C'est occupé.
Ich telefoniere wegen des Inserats.|Je téléphone pour l'annonce.
Bleiben Sie am Apparat.|Ne quittez pas.
Einen Augenblick, bitte.|Un instant, s'il vous plaît.
Aha![] (Erstaunen)|Ah bon!
Tout à fait.|Genau.
der Bäcker|le boulanger
die Bächerin|la boulangère
der Schüler|l'élève
die Schülerin|l'élève
der Schauspieler|l'acteur
die Schauspielerin|l'actrice
der Landwirt|l'agriculteur
die Landwirtin|l'agricultrice
der Künstler|l'artiste
die Künstlerin|l'artiste
der Leichtathlet[]der Wettkämpfer|l'athlète
die Leichtathletin[]die Wettkämpferin|l'athlète
der Sänger|le chanteur
die Sängerin|la chanteuse
der Direktor|le directeur
die Direktorin|la directrice
die Angestellte|l'employée
der Beamte|le fonctionnaire
die Beamtin|la fonctionnaire
der Arzt|le médecin
die Ärztin|le médecin
der Arbeiter|l'ouvrier
die Arbeiterin|l'ouvrière
