die Ferien|les vacances
die Reise|le voyage
die Wanderung|la randonnée
der Spaziergang|la promenade
das Land|le pays
das Gepäck|les bagages
erzählen|raconter
am Morgen|le matin
am Mittag[] (12.00)|à midi
nachher|après
am Nachmittag|l'après-midi
am Abend|le soir
das Abendessen|le dîner
der Tag|le jour
in der Nacht|la nuit
um Mitternacht|à minuit
der Tag[] (von morgens bis abends) |la journée
das Jahr|l'an
das Jahr[] (gesehen als Kalenderjahr) |l'année
der Anfang|le début
zuerst|d'abord
das Meer|la mer
schwimmen|nager
die Insel|l'île
der Strand|la plage
sich bräunen|bronzer
der Sand|le sable
der Hafen|le port
das Fischen[]die Fischerei|la pêche
der Fischerhafen|le port de pêche
das Innere|l'intérieur
suchen|chercher
finden|trouver
das Geld|l'argent
zusammen[]miteinander|ensemble
besichtigen[]besuchen|visiter
das Museum|le musée
die Leute|les gens
treffen|rencontrer
die Altstadt|la vieille ville
berühmt|célèbre
mieten[]wegnehmen[]vermieten|louer
das Mountainbike|le VTT
wechseln|changer
das Hotel|l'hôtel
das Zelt|la tente
arbeiten|travailler
verdienen[]gewinnen|gagner
der Berg[]das Gebirge|la montagne
verbringen|passer
das Segeln|la voile
das Surfbrett|la planche à voile
gehen|aller
bleiben|rester
ankommen|arriver
abfahren[]verreisen|partir
hinausgehen[]ausgehen|sortir
hineingehen[]eintreten|entrer
heimkommen|rentrer
umfallen[]fallen|tomber
zurückkehren|retourner
hinaufsteigen[]hineinsteigen|monter
Abfahrt[]Weggang|le départ
