essen|manger
Wie viel kostet das?|ça coûte combien?
lernen|apprendre
verstehen|comprendre
setzen[]legen[]stellen|mettre
den Tisch decken|mettre la table
ein Kleidungsstück anziehen|mettre un vêtement
nehmen|prendre
es braucht|il faut
willkommen|bienvenu[]bienvenue
helfen|aider
einladen|inviter
der Gast|l'invité
zubereiten[]vorbereiten|préparer
holen gehen|aller chercher
hinzufügen|ajouter à
vermischen[]durcheinander bringen|mélanger
schneiden[]zerschneiden|couper
das Gedeck|le couvert
das Tischtuch|la nappe
der Teller|l'assiette
das Messer|le couteau
die Gabel|la fourchette
der Löffel|la cuillère
das Glas[]das Trinkglas|le verre
das Kilo|le kilo
der Liter|le litre
viel von|beaucoup de
das Gramm|le gramme
die Flasche|la bouteille
wenig von|peu de
ein wenig von|un peu de
das Stück|le morceau
die Scheibe|la rondelle
die Milch|le lait
der Käse|le fromage
das Feingebäck[]die Konditorei|la pâtisserie
der Kuchen|le gâteau
die Zitrone|le citron
der Salat|la salade
das Mineralwasser|l'eau minérale
die Butter|le beurre
das Brot|le pain
die Schokolade|le chocolat
der Apfel|la pomme
die Mandel|l'amande
die Karotte|la carotte
der Fisch|le poisson
der Saft|le jus
das Fleisch|la viande
das Gemüse|le légume
die Kartoffel|la pomme de terre
die Tomate|la tomate
die Teigwaren|les pâtes
das Salz|le sel
das Ei|l'oeuf
die Frucht|le fruit
das Getränk|la boisson
der Sirup|le sirop
der Most|le cidre
der Kaffee|le café
die Pfefferminze|la menthe
das Mehl|la farine
der Zucker|le sucre
der Reis|le riz
die Haselnuss|la noisette
die Hefe|la levure
die Konfiture|la confiture
der Obstkuchen[]der Früchtekuchen|la tarte
salzen|saler
die Salatschüssel|le saladier
der Kopfsalat|la laitue
die Zucchetti|la courgette
die Artischocke|l'artichaut
der Pfeffer|le poivre
pfeffern|poivrer
der Essig[]der Weinessig|le vinaigre
die Salatsauce|la vinaigrette
das Öl|l'huile
der Senf|la moutarde
nützlich|utile
immer|toujours
vor[] (zeitlich) |avant
nach[] (zeitlich) |après
während|pendant
