der Körper|le corps
der Arm|le bras
der Fuss|le pied
die Hand|la main
der Finger|le doigt
der Bauch|le ventre
das Knie|le genou
das Bein|la jambe
die Schulter|l'épaule
der Kopf|la tête
der Mund|la bouche
die Stirn|le front
das Auge|l'oeil
das Ohr|l'oreille
die Wange|la joue
das Haar|le cheveu
das Gesicht|le visage
der Hals|le cou
der Knöchel|la cheville
der Rücken|le dos
der Unfall|l'accident
die Verstauchung|la foulure
der Bruch|la fracture
der Gips|le plâtre
Schmerzen haben|avoir mal à[]avoir mal
weh tun|faire mal
schlimm|grave
der Schmerz|la douleur
der Krankenwagen|l'ambulance
müde|fatigué[]fatiguée
der Husten|la toux
husten|tousser
der Hals, die Kehle|la gorge
krank|malade
die Gesundheit|la santé
sich erkälten|prendre froid
die Bronchitis|la bronchite
die Erkältung|le rhume
die Angina|l'angine
die Apotheke|la pharmacie
die Tablette|le comprime
die Tropfen|les gouttes
der Kräutertee|la tisane
das Bett|le lit
die Ruhe|le repos
das ärtzliche Rezept|l'ordonnance
der Ratschlag|le conseil
bald|bientôt
gegen|contre
Setz dich!|Assieds-toi!
sich anziehen|s'habiller
sich waschen|se laver
sich verletzen|se blesser
sich etw. verstauchen|se fouler qc.
sich etw. brechen|se casser qc.
sich hinlegen, ausstrecken|s'allonger
sich pflegen|se soigner
beginnen mit|se mettre à faire
