ein Instrument spielen|jouer d'un instrument
der Brief|la lettre
die Tätigkeit[]Beschäftigung|l'activité
sammeln|collectionner
der Sammler|le collectionneur
die Sammlerin|la collectionneuse
die Briefmarke|le timbre[]le timbreposte
die Börse|la bourse
die Postkarte|la carte postale
vor allem|surtout
lesen|lire
schreiben|écrire
die Zeitung[]das Tagebuch|le journal
einkaufen gehen|faire les courses
behalten[]hüten|garder
die Disco[]die Schachtel|la boîte
basteln|bricoler
die Bastelei[]die Bastelarbeit|le bricolage
der Bastler|le bricoleur
die Bastlerin|la bricoleuse
die Enspannung|la détente
schlafen|dormir
besprechen|discuter qc.
Lust haben|avoir envie
vorschlagen|proposer
der Vorschlag|la proposition
der Plan[]das Vorhaben|le projet
recht haben|avoir raison
ich auch nicht|moi non plus
denken über|penser de
erlauben[]gestatten|permettre
die Erlaubnis|la permission
fragen|demander
um erlaubnis fragen|demander la permission
mit Vergnügen|avec plaisir
Wir könnten ins Kino gehen.|On pourrait aller au cinéma.
Ich schlage dir vor, ins Kino zu gehen.|Je te propose d'aller au cinéma.
Wenn du willst, können wir ins Kino gehen.|Si tu veux, on peut aller au cinéma.
Sehr gern.|Je veux bien.
anfangen[]beginnen|commencer
das Mal|la fois
das erste Mal|la première fois
nächste[]nächster[]nächstes|prochain[]prochaine
neu|nouveau[]nouvelle
alt|vieille[]vieux
jede[]jeder[]jedes|chaque
Notizen machen|prendre des notes
der Unterschied|la différence
verschieden|différent[]différente
bis|jusqu'à
