beobachten|observer
unterwegs sein|être en route
die Landstrasse|la route
der Gipfel|le sommet
der Gletscher|le glacier
der Felsen|le rocher
die Tanne|le sapin
die Wiese|le pré
die Aussicht|la vue
sehen|voir
bewundern|admirer
pflanzen|planter
das Blatt|la feuille
der Pass|le col
das Tal|la vallée
der Horizont|l'horizon
der Fortschritt|le progrès
das Schloss|le château
die Meinung|l'avis
wunderbar|magnifique
respektieren|respecter
die Umwelt|l'environnement
das Naturschutzgebiet|la réserve naturelle
das Wetter|le temps
Es ist schlechtes Wetter.|Il fait mauvais temps.
Es ist warm.|Il fait chaud.
Es ist kalt.|Il fait froid.
Welch schönes Wetter!|Quel beau temps!
Welches Wetter haben wir heute?|Il fait quel temps aujourd'hui?
der Sommer|l'été
der Winter|l'hiver
der Schnee|la neige
hell[]klar|clair[]claire
Es ist minus drei Grad.|Il fait moins trois.
Es ist 28 Grad.|Il fait 28 degrés.
Es ist schön.|Il fait beau.
Es regnet.|Il pleut.
die Jahreszeit|la saison
der Frühling|le printemps
der Herbst|l'automne
draussen|dehors
der Wind|le vent
der Nebel|le brouillard
das Gewitter|l'orage
der Donner|le tonnerre
der Blitz|l'éclair
die Kanone|le canon
die Hochebene|le plateau[]le hautplateau
das Gedicht|la poème
gefährlich|dangereux[]dangereuse
die Kuh|la vache
das Schaf|le mouton
die Ziege|la chèvre
das Pferd|le cheval
nichts|rien
nichs[](in Verbindung mit einem Verb)|ne ... rien
immer|toujours
noch||encore
die Arbeit|le travail
beenden|terminer
kreieren[]schaffen|créer
dafür oder dagegen sein|être pour ou contre
wenn[]falls|si
Ich bin mit dir nicht ganz einverstanden.|Je ne suis pas tout à fait d'accord avec toi.
Ich bin mit Ihnen nicht einverstanden.|Je ne suis pas d'accord avec vous.
