la ville|die Stadt
la banlieue|der Vorort
le monument|das Monument[]das Denkmal
la rue|die Strasse[] (innerorts)
la rive|das Ufer
l'habitant/l'habitante|der/die Be-, Einwohner/in
habiter|wohnen
le visiteur[]la visiteuse|der Besucher[]die Besucherin
la majorité|die Mehrheit
résider|residieren[]wohnen
border|säumen
longer|entlang gehen[]säumen
arriver|ankommen
monter|einsteigen
un avion|ein Flugzeug
la voiture|das Auto
un autocar|ein Autocar
partir|verreisen[]abreisen
descendre|aussteigen
le train|der Zug
le bateau|das Schiff
l'autobus|der Autobus
la camionnette|der Lieferwagen
le parking|der Parkplatz[]das Parkhaus
le permis|der Ausweis[]die Bewilligung
se déplacer|sich fortbewegen
stationner|parkieren
s'arrêter|anhalten
relier à|verbinden mit
un aéroport|ein Flughafen
international[]internationale|international
national[]nationale|national
la ligne|die Linie
le train souterrain|der unterirdische Zug
le métro|die Untergrundbahn[]die Metro
rapide|schnell
le moyen de transport|das Transportmittel
demander le chemin|nach dem Weg fragen
indiquer le chemin|den Weg zeigen[]erklären
le carrefour|die Kreuzung
l'escalier|die Treppe
la direction|die Richtung
le sens|der Sinn[]die Richtung
la liaison|die Verbindung
passer|vorbeigehen
traverser|überqueren
rouler|fahren[]rollen
aller tout droit|geradeaus gehen
tourner|wenden[]abbiegen
se diriger vers la ville|auf die Stadt zugehen
autour de|um ... herum
loin|enfernt
le plombier|der Klempner[]die Klempnerin
une entreprise|ein Unternehmen
le chauffage|die Heizung
le voleur|der Dieb[]die Diebin
voler|stehlen
le témoin|der Zeuge[]die Zeugin
le portrait robot|das Phantombild
le gardien|der Wächter[]die Wächterin
le complice|der Komplize[]die Komplizin
disparaître|verschwinden
paraître|erscheinen[]scheinen
arrêter|verhaften
signaler|anzeigen[]melden
suspecter|verdächtigen
poursuivre|verfolgen
la taille|die Grösse
préciser|genau angeben[]bestimmen
mesurer|messen
le crâne rasé|der rasierte Schädel
mince|schlank
corpulent[]corpulente|fest[]korpulent
rond[]ronde|rund
ovale|oval
la joue|die Wange
la cicatrice|die Narbe
le bleu de travail|der Arbeitsanzug
la boucle d'oreille|der Ohrring
plûtot|eher
la réception|der Empfang
le concierge[]la concierge|der Hauswart[]die Hauswärterin[]der Pförtner[]die Pförtnerin
le renseignement|die Auskunft
une excursion|der Ausflug
finalement|endlich
malheureusement|unglücklicherweise
brusquement|brüsk[]plötzlich
tout de suite|sofort
malgré|trotz
