la publicité[]la pub|die Werbung
le cinéma|das Kino
le journal[] (pl. les – aux)|die Zeitung
avoir envie de qc.|auf etw. Lust haben
publicitaire|Werbe...
le public|die Öffentlichkeit[]das Publikum
les médias|die Medien
la télévision|das Fernsehen
le magazine|die Zeitschrift
une affiche|das Plakat
une enseigne lumineuse|eine Leuchtreklame
varier|variieren[]abwechseln
attirer|anziehen
à travers|durch[]mittels
l'attention|die Aufmerksamkeit[] (f.) 
la promesse|das Versprechen
une émotion|eine Gemütsregung
émotionnel[]émotionnelle|emotional
l'humour|der Humor
la suggestion|die Anregung
la beauté|die Schönheit
rêver|träumen
une information|eine Information
informatif[]informative|informativ
vendre|verkaufen
la différence|der Unterschied
la promotion|die Förderung[]die Verkaufsförderung
la vente|der Verkauf
augmenter|erhöhen[]steigen
un effet de surprise|ein Überraschungseffekt
inspirer|inspirieren[]ansprechen
le sondage|die Umfrage
le secret|das Geheimnis
la ressemblance|die Ähnlichkeit
ressembler à|ähnlich sein
semblable|ähnlich
équivalent[]équivalente|gleichwertig
génial[]géniale|genial
magnifique|wunderbar
stupide|dumm[]blöd
mauvais[]mauvaise|schlecht
une appréciation|eine Wertschätzung[]eine Würdigung
apprécier|schätzen[]würdigen
une opinion|eine Meinung
croire|glauben
selon moi|meines Erachtens
être convaincu[]être convaincue|überzeugt sein
sûr[]sûre|sicher
à mon goût|nach meinem Geschmack
à mon avis|meiner Meinung nach
sans aucun doute|ohne jeden Zweifel
l'efficacité|die Wirksamkeit[]die Effizienz[]  (f.)   
efficace|wirksam[]effizient
irrésistible|unwiderstehlich
superbe|grossartig
merveilleux[]merveilleuse|prachtvoll
attractif[]attractive|attraktiv[]anziehend
attrayant[]attrayante|anziehend
émouvant[]émouvante|bewegend
sensible|empfänglich[]sensibel
subtil[]subtile|subtil[]scharfsinnig
catastrophique|katastrophal
repoussant[]repoussante|abstossend[]schrecklich
le sommet|der Gipfel
la montagne|der Berg
le monde|die Weld
la terre|die Erde
la chaîne|die Kette
l'altitude|die Höhe[]  (f.)
le fleuve|der Strom
étendu[]étendue|ausgedehnt[]weit
partout|überall
entourer|umgeben
le proverbe|das Sprichwort
une exception|eine Ausnahme
confirmer|bestätigen
exister|existieren[]bestehen
une impression|ein Eindruck
le support|der Träger[]die Stütze
le cinéaste|der Filmemacher[]die Filmemacherin
le réalisateur[]la réalisatrice|der Regisseur[]die Regisseurin
la rentrée scilaire|der Schulbeginn
davantage|mehr
certain[]certaine|sicher
fier[]fière|stolz
attentivement|aufmerksam
également|ebenfalls
la langue maternelle|die Muttersprache
chacun[]chacune|jeder[]jede[]jedes
celui-ci[]celle-ci[] (pl. ceux-ci, celles-ci) |dieser da[]diese da[]dieses da
celui-là[]celle-là[] (pl. ceux-là, celles-là) |dieser hier[]diese hier[]dieses hier
