les ancêtres|die Vorfahren
la recherche|die Forschung
l'invention, f.|die Erfindung
l'inventeur[]l'inventrice|der Erfinder[]die Erfinderin
inventer|erfinden
se développer|sich entwickeln
découvrir|entdecken
la découverte|die Entdeckung
considérer|betrachten[]finden
être né[]être née|geboren sein
s'occuper de|sich kümmern um
être mort[]être morte|tot sein
décédé[]décédée|gestorben
la partie|der Teil
signifier|bedeuten
marquer le début de|der Anfang sein von
une époque|eine Epoche[]eine Zeit
l'ingénieur|der Ingenieur[]die Ingenieurin
construire|bauen
la science|die Wissenschaft
le scientifique[]la scientifique|der Wissenschaftler[]die Wissenschaftlerin
le physicien[]la physicienne|der Physiker[]die Physikerin
le chimiste[]la chimiste|der Chemiker[]die Chemikerin
le biologiste[]la biologiste|der Biologe[]die Biologin
l'apparition|das Erscheinen[]das Auftreten
la télécommunication|die Telekommunikation
la télécommande|die Fernbedienung
résoudre|lösen[]auflösen
provenir de|herkommen von
le télégraphe|der Fernschreiber[]der Telegraf
envoyer|senden[]schicken
le message|die Botschaft[]die Nachricht
le messager|der Bote
la transmission|die Übermittlung
transmettre|übermitteln[]übertragen
le signal[] (pl. les signaux) |das Signal[]das Zeichen
identique|gleich[]identisch
le fil|der Faden[]der Draht
le fer|das Eisen
le cuivre|das Kupfer
le courant|der Strom[]die Strömung
une impulsion|ein Impuls[]ein Stromstoss
l'amplificateur|der Verstärker
renforcer|verstärken
la touche|die Taste
appuyer sur|drücken auf[]pressen auf
imprimer|drucken
combiner|kombinieren[]zusammensetzen
la combinaison|die Kombination[]die Zusammensetzung
le trait|der Strich[]die Linie
circuler|zirkulieren[]umlaufen
grâce à|dank
l'écouteur|der Hörer
le microphone|das Mikrophon
la sonnerie|das Klingeln
le récepteur|der Hörer[]das Empfangsgerät
le haut-parleur|der Lautsprecher
les frais|die Kosten[]die Spesen
atteignable|erreichbar
la tranquillité|die Ruhe
une urgence|eine Dringlichkeit[]ein Notfall
contacter|Kontakt aufnehmen
agir|handeln
bâtir|bauen
blanchir|weissen[]bleichen
convertir|umwandeln[]konvertieren[]umrechnen
définir|bestimmen
démolir|zerstören[]niederreissen
faiblir|schwach werden
finir|beenden[]fertig machen
maigrir|abnehmen
pâlir|bleich werden[]erbleichen
punir|strafen[]bestrafen
réagir|reagieren
réfléchir|überlegen[]nachdenken
se réjouir de|sich freuen über
réunir|Vereinigen[]zusammenführen
réussir|gelingen[]Erfolg haben
suffire|genügen
vieillir|altern[]alt werden
l'humanité[](f.) |die Menschlichkeit
humain[]humaine|menschlich
se débrouiller|sich zu helfen wissen
quotidien[]quotidienne|täglich
injuste[] (m. et f. (adj.)) |ungerecht
inutile[] (m. et f. (adj.)) |unnütz[]nutzlos
le baladeur|der Walkman
la bougie|die Kerze
la lumière|das Licht
allumer|anzünden[]einschalten
