le journaliste|der Journalist
l'article|der Artikel[]der Zeitungsartikel
une annonce|eine Anzeige[]eine Annonce
journalistique, m. et f. (adj.)|jurnalistisch
rédiger|verfassen[]redigieren
le reportage|die Reportage
à l'intérieur|drinnen
le titre|der Titel
le gros titre|die Schlagzeile
la publication|die Veröffentlichung
la rubrique|die Rubrik
traiter|behandeln[]verarbeiten
le sport|der Sport
le monde|die Welt
l'immeuble|der Wohnblock
l'image|das Bild
l'économie|die Wirtschaft
la politique|die Politik
la météo|der Wetterbericht
la brève|die Kurznachricht
l'événement|das Ereignis
l'écrivain|der Schriftsteller
regarder|schauen[]anschauen
expliquer|erklären
les gens|die Leute
présenter|präsentieren
la chaîne|die Kette[]der Fernsehkanal
raconter|erzählen
observer|beobachten
le visiteur[]la visiteuse|der Besucher[]die Besucherin
ordinaire|gewöhnlich
produire|produzieren
l'émission|die Sendung
le programme|das Programm
l'écran|der Bildschirm
le producteur[]la productrice|der Produzent[]die Produzentin
le présentateur[]la présentatrice|der Ansager[]die Ansagerin[]der Moderator[]die Moderatorin
l'animateur[]l'animatrice|der Animator[]die Animatorin
le téléspectateur[]la téléspectatrice|der Fernsehzuschauer[]die Fernsehzuschauerin
le genre|die Art[]die Gattung
le divertissement|die Unterhaltung
se moquer de|sich lustig machen über
le spectacle|das Spektakel[]das Schauspiel
le spectateur[]la spectatrice|der Zuschauer[]die Zuschauerin
l'organisateur[]l'organisatrice|der Organisator[]die Organisatorin
la Guerre mondiale|der Weltkrieg
le succès|der Erfolg
grave[] (m. et f. (adj.)) |ernst[]schlimm[]ernsthaft
important[]importante|wichtig
intéressant[]intéressante|interessant
étonnant[]étonnante|erstaunlich
surprenant[]surprenante|überraschend
ennuyeux[]ennuyeuse|langweilig
amusant[]amusante|amüsant[]lustig
drôle|komisch[]lustig
terrible|schrecklick[]furchtbar
essentiel[]essentielle|wesentlich[]Haupt...
passionant[]passionante|spannend[]aufregend
sans intérêt|uninteressant
le journal[] (pl. les journaux)|die Zeitung
national[]nationale[] (m. pl. nationaux) |national[]Landes...
paraître|erscheinen, scheinen
l'opinion|die Meinung
l'illustré|die illustrierte Zeitschrift
la revue|die Zeitschrift[]die Fachzeitschrift
le quotidien|die Tageszeitung
l'hebdomadaire|die Wochenzeitschrift
régional[]régionale[] (m. pl. régionaux) |regional
local[]locale[] (m. pl. locaux) |lokal[]örtlich[]Orts...
l'éditorial|der Leitartikel
la une|die Titelseite
le chapeau|der Vorspann
la caricature|die Karikatur 
